,0
0,15.34184
1,13.726594
2,13.444013
3,16.093418
4,17.538748
5,19.564854
6,21.438082
7,22.985186
8,23.953161
9,23.638674
10,24.339998
11,23.744995
12,20.051622
13,18.881815
14,18.386415
15,15.9557905
16,17.861742
17,18.857927
18,18.377436
19,20.659407
20,22.224073
21,19.051811
22,20.8195
23,20.555601
24,19.237345
25,19.282104
26,18.608583
27,18.676916
28,19.158998
29,19.268795
30,20.465925
31,18.816225
32,20.047989
33,19.865002
34,17.186184
35,16.56306
36,17.053957
37,18.673937
38,17.823668
39,19.634428
40,17.62963
41,17.385088
42,17.59519
43,17.813671
44,17.507402
45,16.294636
46,16.29514
47,15.064458
48,16.134434
49,17.222446
50,15.042319
51,14.957471
52,13.138883
53,17.822021
54,17.185366
55,15.6766405
56,17.474432
57,18.759209
58,20.185682
59,22.093264
60,22.957796
61,23.373343
62,24.619501
63,24.511936
64,25.338634
65,24.46681
66,21.540583
67,21.356195
68,21.968826
69,20.296364
70,20.356472
71,21.094645
72,19.422867
73,17.319532
74,17.797718
75,21.037525
76,21.16378
77,22.303621
78,22.495087
79,20.598574
80,21.036142
81,20.309578
82,20.016827
83,18.32728
84,20.246733
85,19.730629
86,20.084354
87,19.674736
88,20.370808
89,19.741076
90,19.181913
91,20.216257
92,18.633265
93,18.88664
94,19.668186
95,20.251898
96,20.649328
97,20.497606
98,19.867031
99,20.444443
100,20.351255
101,19.148384
102,18.443268
103,16.755116
104,16.766357
105,17.443869
106,17.392258
107,16.895727
108,15.845728
109,15.435898
110,17.40801
111,18.381224
112,16.582134
113,17.481474
114,15.773011
115,15.959977
116,17.601198
117,15.707677
118,15.375013
119,15.58251
120,13.5364065
121,12.448679
122,13.226886
123,12.302888
124,14.072762
125,13.47323
126,15.250301
127,16.349003
128,14.142534
129,14.2424
130,14.018461
131,13.483745
132,15.623595
133,13.636458
134,15.269025
135,14.406946
136,15.375494
137,14.344972
138,13.351423
139,11.91488
140,11.849173
141,12.732907
142,14.037749
143,15.153976
144,14.663767
145,15.24011
146,14.162708
147,11.597319
148,10.179629
149,10.651575
150,11.506116
151,12.623026
152,12.8819475
153,12.314674
154,11.883173
155,11.268958
156,9.740311
157,8.93581
158,10.550578
159,10.818091
160,12.007016
161,12.351814
162,12.01086
163,11.51003
164,11.908423
165,11.353776
166,11.312874
167,11.738739
168,11.784659
169,11.67272
170,11.461767
171,10.670609
172,9.444247
173,8.470742
174,7.5843477
175,7.5092874
176,7.0535245
177,6.737391
178,6.279427
179,5.749141
180,5.2089024
181,4.5422626
182,4.65883
183,4.4769354
184,3.7407815
185,3.1352384
186,3.1523407
187,2.7278788
188,3.3834918
189,3.802869
190,4.0411706
191,4.139821
192,4.4538517
193,4.426819
194,5.2064824
195,5.232436
196,4.9480305
197,4.685189
198,4.472667
199,4.811918
200,4.924728
201,5.1544538
202,4.843633
203,4.78919
204,4.750162
205,4.0559344
206,3.4082234
207,3.283778
208,3.357815
209,3.4953058
210,3.4146125
211,2.9587672
212,2.950227
213,2.9018462
214,2.7012236
215,2.7904894
216,2.8420718
217,2.6936076
218,2.8107884
219,2.9672053
220,3.0093782
221,2.8647358
222,2.7420495
223,2.567856
224,2.477894
225,2.314853
226,2.4385617
227,2.4314196
228,2.990815
229,3.0465243
230,2.9481738
231,2.903128
232,2.5262024
233,2.7545474
234,2.646207
235,2.5540373
236,2.57282
237,2.4508526
238,2.742823
239,2.521394
240,2.589146
241,2.7583725
242,3.1014073
243,3.1109502
244,3.0412896
245,2.7707608
246,2.6142037
247,2.34997
248,2.3190377
249,2.278167
250,2.4395106
251,2.1472027
252,1.96322
253,1.7647203
254,1.7711605
255,1.8344511
256,2.0804799
257,2.0053704
258,2.0023415
259,1.8931736
260,2.1153424
261,2.0864604
262,2.0765393
263,2.192015
264,2.2125685
265,2.5799725
266,2.8800585
267,3.2231767
268,3.6291325
269,3.5489528
270,3.4670165
271,3.3118122
272,3.2514575
273,3.0180604
274,2.879574
275,3.0544574
276,3.3593218
277,3.1890457
278,3.215215
279,3.0894144
