,0
0,14.759184
1,13.267722
2,13.010361
3,16.001957
4,17.405762
5,19.187744
6,20.99384
7,21.484972
8,21.405937
9,20.579445
10,21.280382
11,20.903511
12,17.637484
13,17.413254
14,17.154736
15,15.325213
16,17.70426
17,18.364384
18,17.194561
19,20.56321
20,22.652153
21,18.096952
22,20.156132
23,19.230314
24,17.678093
25,17.909868
26,16.999233
27,17.04985
28,17.45782
29,17.452105
30,18.704367
31,16.756693
32,18.264244
33,17.964695
34,15.777079
35,15.414065
36,15.743643
37,17.181065
38,16.172657
39,18.22719
40,16.12833
41,16.17201
42,16.494156
43,16.624125
44,16.299671
45,15.393212
46,15.463623
47,14.72944
48,15.411351
49,16.180977
50,14.828398
51,14.713654
52,13.549728
53,17.727556
54,16.552986
55,15.400481
56,17.248564
57,18.189808
58,19.622587
59,21.673147
60,21.73453
61,21.469969
62,22.572432
63,22.365355
64,23.884586
65,23.611145
66,20.264126
67,20.98047
68,22.558731
69,19.8449
70,19.743002
71,20.906162
72,17.910158
73,16.114967
74,16.28126
75,20.647905
76,20.365026
77,21.011738
78,21.11772
79,18.672775
80,19.378342
81,18.584997
82,18.329872
83,16.583475
84,19.122795
85,18.623035
86,18.785444
87,18.371954
88,19.449596
89,18.503887
90,17.817616
91,19.581991
92,17.303766
93,17.506018
94,18.242804
95,19.207594
96,19.81667
97,19.93153
98,19.366676
99,20.024218
100,20.137163
101,18.522877
102,17.755993
103,15.986009
104,16.188694
105,16.732435
106,16.297792
107,15.578939
108,14.87904
109,14.514977
110,15.7996025
111,16.700691
112,15.235238
113,16.06
114,14.94071
115,15.179561
116,16.61609
117,15.201116
118,15.016418
119,15.256724
120,14.007649
121,13.251912
122,13.558976
123,12.498529
124,13.996479
125,13.526405
126,15.081055
127,15.899481
128,14.281953
129,14.536133
130,14.295623
131,13.592175
132,15.152457
133,13.836657
134,14.947504
135,14.330621
136,14.755439
137,14.18186
138,13.635162
139,12.538379
140,12.371831
141,12.889917
142,13.551414
143,14.109295
144,13.732145
145,14.062242
146,13.429494
147,11.476546
148,10.058335
149,11.128571
150,11.934604
151,12.992459
152,12.982427
153,12.878157
154,12.707374
155,12.481508
156,11.3844
157,10.300265
158,11.723372
159,11.544927
160,12.393578
161,12.540286
162,12.259634
163,11.913754
164,12.102903
165,11.771879
166,11.36933
167,10.95985
168,10.616315
169,10.492741
170,10.38449
171,9.950165
172,8.837039
173,7.8098173
174,7.07798
175,7.3217344
176,6.828929
177,6.803525
178,6.3380256
179,5.430693
180,4.8054967
181,3.8014438
182,4.8185167
183,4.8985395
184,3.7323701
185,3.0311773
186,3.7846687
187,2.8120224
188,4.4223595
189,4.6986637
190,4.879348
191,4.6919775
192,4.838718
193,4.23566
194,5.3455486
195,4.914706
196,3.937867
197,3.4408138
198,3.0958903
199,3.9787552
200,4.181289
201,4.653746
202,3.730448
203,4.137837
204,4.6722655
205,3.7597306
206,2.7609894
207,3.2593248
208,3.5899026
209,3.7945397
210,3.3510592
211,2.0959733
212,2.1972249
213,2.2021887
214,1.769132
215,2.2203686
216,2.4612849
217,1.8531717
218,2.1984723
219,2.2453377
220,2.2624753
221,1.8366283
222,1.5979608
223,1.3801817
224,1.2373375
225,1.1739849
226,1.6817144
227,1.6658987
228,2.7154124
229,2.5936224
230,2.1965954
231,2.4066126
232,1.4748911
233,2.466678
234,2.1771557
235,2.0077517
236,1.9272293
237,1.5135626
238,2.2113068
239,1.468079
240,1.8963522
241,2.0768712
242,2.5032017
243,2.3817446
244,2.149092
245,1.7556404
246,1.651481
247,1.2346977
248,1.2261537
249,1.0993265
250,1.6923059
251,0.8433441
252,0.63936937
253,0.34536394
254,0.58437955
255,0.6735414
256,1.3199056
257,0.8318151
258,0.8656658
259,0.6368965
260,1.4021114
261,1.2918752
262,1.1227382
263,1.1566728
264,1.1211017
265,1.7687267
266,2.440511
267,2.9969728
268,3.7259786
269,3.0590842
270,2.780842
271,2.51501
272,2.4213955
273,2.2967103
274,2.260629
275,2.7711928
276,3.372728
277,2.5060341
278,2.4480069
279,2.3646271
280,2.5805342
281,3.1833618
282,2.5346882
283,2.0057738
284,2.6953433
285,3.4330566
286,2.724188
287,2.963322
288,3.3119895
289,3.6309264
290,5.359275
291,5.5713983
292,6.3462834
293,7.312336
294,8.142832
295,8.496688
296,8.797875
297,9.056573
298,9.811722
299,8.903153
300,8.631072
301,9.966711
302,9.668
303,10.45726
304,11.0155525
305,11.170452
306,9.399909
307,8.406968
308,7.3460326
309,6.398177
310,6.4885387
311,7.5422535
312,7.388698
313,7.4393854
314,7.398892
315,6.707716
316,7.0997043
317,7.7175713
318,7.310596
319,7.1210017
320,7.094124
321,6.1960325
322,5.757087
323,8.053562
324,9.57587
325,9.140584
326,9.6878
327,12.79639
328,14.49441
329,12.226056
330,16.21347
331,14.497594
332,14.501705
333,13.679302
334,13.136046
335,15.615117
336,15.746542
337,15.596699
338,16.94725
339,15.262945
340,15.472944
341,14.521854
342,14.58774
343,14.41005
344,14.603303
345,14.216514
346,15.067735
347,15.701859
348,16.901342
349,15.539246
350,15.3511715
351,14.783584
352,16.561167
353,15.705022
354,14.804071
355,17.303804
356,18.437944
357,18.868977
358,20.086697
359,18.175705
360,17.56913
361,17.725838
362,15.682827
363,17.025087
364,16.067986
365,14.76734
366,15.503044
367,14.706548
368,16.317337
369,15.120035
370,14.664179
371,16.779062
372,17.536238
373,15.569558
374,16.195406
375,14.988323
376,14.78722
377,14.636504
378,16.767794
379,17.87724
380,20.734545
381,21.628763
382,22.545046
383,21.533749
384,17.291683
385,18.1507
386,17.537798
387,15.3441515
388,16.385021
389,18.029417
390,18.489313
391,22.328545
392,19.799837
393,18.979912
394,17.392014
395,16.544298
396,16.72926
397,16.373417
398,16.172186
399,18.338541
400,19.873287
401,17.069344
402,16.753641
403,15.313014
404,15.7914095
405,15.570371
406,16.743801
407,15.581244
408,15.243354
409,15.379282
410,15.024764
411,15.312981
412,17.288414
413,16.721659
414,16.498121
415,18.133667
416,18.894777
417,17.135962
418,16.945448
419,19.038061
420,18.88165
421,18.016409
422,18.074621
423,18.993979
424,20.169592
425,21.51753
426,21.53913
427,22.040077
428,21.689995
429,21.298557
430,19.330803
431,19.558306
432,19.364908
433,19.034035
434,17.605413
435,18.597849
436,16.635246
437,16.296886
438,15.492518
439,16.307226
440,16.09233
441,15.349512
442,14.8230915
443,14.276643
444,15.19433
445,15.780277
446,14.862477
447,14.888101
448,15.973725
449,15.998049
450,17.619001
451,18.71345
452,18.779404
453,18.853296
454,18.33497
455,15.771263
456,15.833226
457,15.538501
458,16.384262
459,15.513975
460,15.103658
461,15.979168
462,14.762466
463,15.324108
464,15.278216
465,15.195469
466,16.011967
467,16.34205
468,15.2434635
469,15.974999
470,14.996847
471,14.360462
472,13.964788
473,13.3396015
474,12.702945
475,12.990345
476,11.578087
477,12.183661
478,12.11645
479,13.316242
480,14.480131
481,15.376215
482,15.413531
483,16.743494
484,16.496937
485,16.438723
486,16.400816
487,15.45279
488,15.898888
489,16.399954
490,15.548535
491,15.59228
492,15.589322
493,14.702823
494,14.245766
495,13.516633
496,13.847992
497,13.5095625
498,14.277075
499,14.35786
500,14.273042
501,12.728254
502,13.369712
503,12.777577
504,12.777491
505,12.061177
506,13.038631
507,12.807427
508,12.045205
509,11.429121
510,12.402791
511,12.419366
512,11.561185
513,11.674025
514,10.068162
515,9.03601
516,7.669397
517,8.412581
518,8.137884
519,7.4771056
520,7.236857
521,6.650829
522,6.886032
523,6.210891
524,5.433283
525,5.8964624
526,4.487287
527,3.8454359
528,4.4468884
529,4.908575
530,5.6468053
531,4.1057086
532,4.349943
533,4.594592
534,5.2854533
535,4.8135314
536,5.060407
537,5.170204
538,3.9426873
539,4.116149
540,3.4341767
541,3.0365436
542,4.1604166
543,4.5304875
544,4.921614
545,4.829838
546,5.1712747
547,5.193939
548,4.6864634
549,4.4803305
550,4.5265107
551,5.4441347
552,4.2220864
553,4.260209
554,3.9791958
555,4.7269893
556,4.5937653
557,4.474096
558,4.3136716
559,4.992986
560,4.9926
561,5.420203
562,3.9036052
563,4.9913616
564,4.3227243
565,4.217217
