,0
0,14.4551115
1,12.390078
2,12.683578
3,16.09152
4,16.713806
5,18.501143
6,20.359303
7,21.714554
8,22.520271
9,22.099268
10,23.19854
11,22.899275
12,19.689623
13,19.76913
14,19.238478
15,15.791672
16,19.991201
17,19.701452
18,18.038641
19,21.301039
20,22.456963
21,18.76101
22,21.772802
23,20.694803
24,19.19208
25,19.54535
26,18.400055
27,18.650906
28,19.090174
29,18.81884
30,19.871714
31,17.471977
32,19.470797
33,18.615036
34,15.368826
35,16.172556
36,17.04987
37,18.137291
38,16.503225
39,18.541868
40,15.992051
41,16.416626
42,16.73201
43,16.969303
44,16.554274
45,15.589434
46,15.887834
47,14.45919
48,16.088156
49,16.700596
50,14.3848295
51,14.844197
52,12.942124
53,19.242382
54,17.626335
55,16.012236
56,18.988014
57,19.186281
58,19.977169
59,21.405691
60,21.613613
61,21.749199
62,23.008146
63,22.858862
64,24.669369
65,24.741236
66,22.222263
67,23.077513
68,24.109608
69,21.595509
70,21.631363
71,22.366667
72,19.695608
73,17.242996
74,18.524532
75,22.588621
76,21.70642
77,22.498663
78,22.597641
79,20.636236
80,21.826355
81,21.03955
82,20.849178
83,18.58309
84,21.662352
85,20.42725
86,20.891874
87,20.034369
88,21.188332
89,20.072235
90,19.312124
91,20.47322
92,18.040152
93,18.735136
94,19.372242
95,20.095163
96,20.511501
97,20.5201
98,20.044722
99,20.623487
100,20.768562
101,19.40006
102,18.612333
103,16.49818
104,17.235617
105,17.68966
106,17.096054
107,16.321032
108,15.234334
109,14.852028
110,17.096495
111,17.447266
112,15.070712
113,17.23403
114,14.664395
115,16.01012
116,17.578056
117,15.135322
118,15.649289
119,15.955495
120,13.705637
121,13.193071
122,14.281017
123,11.82435
124,14.957836
125,13.779987
126,15.988761
127,16.211689
128,13.3072405
129,14.51436
130,14.387903
131,13.968114
132,15.966708
133,13.631998
134,15.635092
135,14.102108
136,15.737872
137,13.931187
138,13.207107
139,12.325516
140,12.283588
141,13.139732
142,13.837257
143,14.290886
144,13.866921
145,14.156336
146,13.876649
147,11.329397
148,9.964857
149,11.787583
150,12.270251
151,13.07259
152,13.359805
153,12.611986
154,12.997896
155,12.226595
156,11.832609
157,10.623487
158,12.422805
159,11.761491
160,12.348378
161,12.171928
162,12.020806
163,11.786623
164,11.881203
165,11.645169
166,11.645322
167,11.199182
168,11.185466
169,11.247619
170,11.113197
171,10.829995
172,9.682165
173,8.4753475
174,7.7499614
175,7.931905
176,7.378821
177,7.5800824
178,7.171983
179,6.245405
180,5.469208
181,4.2592764
182,5.26986
183,5.307101
184,4.326835
185,3.7074454
186,4.401902
187,3.456138
188,5.0542097
189,5.2262263
190,5.3563156
191,5.279545
192,5.495427
193,4.951232
194,5.85649
195,5.3983693
196,4.4841313
197,3.7755258
198,3.24735
199,3.9292357
200,4.1188364
201,4.8300195
202,3.9933288
203,4.2614493
204,4.949255
205,4.2091584
206,3.2406023
207,3.8489316
208,4.131564
209,4.310559
210,3.8859303
211,2.6041052
212,2.522918
213,2.4855645
214,2.0388043
215,2.439544
216,2.7156289
217,2.2706597
218,2.6901248
219,2.5959694
220,2.520901
221,1.9836706
222,1.9718517
223,1.6144212
224,1.3747619
225,1.1991361
226,1.9072307
227,1.8713173
228,3.2124317
229,2.8505108
230,2.3992503
231,2.5734417
232,1.6631769
233,2.5417206
234,2.3816378
235,2.138055
236,2.1088784
237,1.6441845
238,2.3527653
239,1.5548538
240,1.8799642
241,2.073973
242,2.631327
243,2.5414479
244,2.230387
245,1.8201078
246,1.6446213
247,1.1950516
248,1.2071117
249,1.0120338
250,1.65107
251,0.8381809
252,1.0129961
253,0.47377715
254,0.69564855
255,0.8139757
256,1.4564537
257,1.2035602
258,1.1767896
259,1.1584638
260,1.8403381
261,1.6332344
262,1.4367555
263,1.4806913
264,1.2767891
265,1.9609722
266,2.650324
267,3.2579882
268,3.9135973
269,3.1179821
270,2.6135695
271,2.4271395
272,2.2726462
273,2.081096
274,2.114487
275,2.7230828
276,3.1800978
277,2.469741
