,0
0,15.313386
1,14.230035
2,14.175443
3,16.791862
4,17.762371
5,19.515217
6,21.413383
7,22.456356
8,22.830149
9,22.301098
10,23.1362
11,22.769459
12,18.965832
13,18.807482
14,18.979397
15,16.435604
16,19.544285
17,20.409634
18,18.817753
19,21.93159
20,23.533018
21,18.353624
22,20.730675
23,20.47125
24,18.716774
25,19.16961
26,18.35093
27,18.5455
28,19.13816
29,18.996399
30,20.402124
31,18.231237
32,19.794062
33,19.608166
34,16.811789
35,16.628891
36,17.268316
37,18.960598
38,17.512764
39,19.703215
40,17.416475
41,17.243021
42,17.777672
43,17.952772
44,17.356556
45,16.23065
46,16.232866
47,15.035052
48,16.201998
49,17.32047
50,15.343127
51,14.99466
52,13.61175
53,19.120766
54,17.659174
55,15.974186
56,17.949322
57,19.169533
58,20.507364
59,22.74275
60,22.976536
61,22.595057
62,23.89012
63,23.704197
64,24.820843
65,24.246307
66,20.847864
67,21.575533
68,23.315195
69,20.286055
70,20.092073
71,21.393501
72,17.828318
73,15.650711
74,17.441252
75,22.746693
76,21.34692
77,21.604084
78,21.796282
79,19.15037
80,20.258202
81,19.66571
82,19.48493
83,17.443523
84,20.738302
85,20.063871
86,20.100048
87,19.56658
88,20.759007
89,19.731667
90,18.97146
91,21.085512
92,18.495132
93,18.776287
94,19.85157
95,20.815922
96,21.30022
97,21.31754
98,20.660671
99,21.291782
100,21.587383
101,19.751547
102,18.907715
103,16.638502
104,17.59273
105,18.598322
106,18.051275
107,17.082031
108,15.942829
109,15.469887
110,17.617914
111,18.578056
112,16.388744
113,17.461748
114,15.895405
115,16.004734
116,17.779945
117,15.7755
118,15.340808
119,15.797089
120,14.141214
121,13.311163
122,13.966237
123,12.458648
124,14.664363
125,13.643941
126,15.911971
127,16.791992
128,14.844828
129,14.754099
130,14.3177805
131,13.73096
132,15.677742
133,14.13655
134,15.29143
135,14.193938
136,15.54847
137,14.315311
138,13.412881
139,12.533718
140,12.023907
141,12.354465
142,13.399572
143,14.032936
144,13.45691
145,13.696211
146,13.4721575
147,11.685163
148,10.367597
149,11.649622
150,12.290704
151,13.285401
152,13.708242
153,12.955611
154,13.071179
155,12.389756
156,11.594226
157,10.562576
158,12.08486
159,11.498393
160,11.853606
161,11.488778
162,11.117556
163,10.7290125
164,10.66196
165,10.353837
166,10.002975
167,9.293318
168,8.925318
169,8.684395
170,8.578242
171,8.419899
172,7.6359496
173,6.716147
174,6.112865
175,6.4327345
176,6.092086
177,6.1529565
178,5.889311
179,4.948875
180,4.339583
181,3.6545093
182,4.6273923
183,4.8966093
184,4.2664356
185,3.8307178
186,4.1358185
187,3.297804
188,4.917441
189,5.220855
190,5.409548
191,5.2232137
192,5.1093493
193,4.4863834
194,5.313334
195,4.9646363
196,4.1813936
197,3.5236733
198,3.1611664
199,3.7278936
200,3.8166258
201,4.2340393
202,3.544093
203,3.8681366
204,4.5374203
205,4.0955143
206,3.4380481
207,3.578913
208,3.8767178
209,4.037234
210,3.816579
211,2.8350737
212,2.8030598
213,2.6077902
214,2.1666796
215,2.2526143
216,2.1460774
217,1.870953
218,1.7952198
219,1.9856943
220,1.8279451
221,1.485452
222,1.13847
223,1.0067724
224,1.0605882
225,0.90623987
226,1.6659673
227,1.6512197
228,3.0135577
229,3.0165102
230,2.9451067
231,2.8739398
232,2.3685496
233,2.952307
234,2.6277993
235,2.321318
236,2.3364327
237,1.8461708
238,2.2615235
239,1.5201935
240,1.5788044
241,2.135176
242,2.9303315
243,2.6686928
244,2.698416
245,2.0043604
246,1.7448524
247,1.1597227
248,1.2738613
249,1.3196052
250,1.5777096
251,1.2392668
252,1.1462768
253,0.72462595
254,0.88882387
255,1.187797
256,1.5157808
257,1.3905748
258,1.3080324
259,1.0822672
260,1.5547031
261,1.3307155
262,1.3685402
263,1.7082905
264,1.6092914
265,2.5481608
266,2.8485968
267,3.6466253
268,4.1275654
269,3.821316
270,3.4337738
271,3.0904405
272,3.2473152
273,2.6338427
274,2.6314576
275,3.1070683
276,3.4865816
277,3.167042
278,3.1993496
279,2.782575
280,2.9312632
281,3.2864501
282,2.9830725
283,2.490124
284,2.9909794
285,3.2334392
286,2.9231036
287,2.8878253
288,3.225693
289,3.3548944
290,4.9161797
291,5.2173724
292,5.8684154
293,6.9044647
294,7.5587835
295,7.8433805
296,8.067671
297,8.323325
298,9.055982
299,8.175767
300,7.774005
301,8.942466
302,8.514653
303,9.25904
304,9.63355
305,9.60367
306,8.243202
307,7.38785
308,6.427717
309,5.681118
310,5.63604
311,6.7722907
312,6.699238
313,6.7399287
314,6.5765758
315,6.160969
316,6.5650067
317,7.2166753
318,6.980102
319,6.8624935
320,6.7086306
321,5.959943
322,5.476137
323,7.8146257
324,9.508423
325,8.904332
326,9.166396
327,12.751748
328,14.223967
329,12.35665
330,15.826891
331,14.202186
332,13.929373
333,13.20585
334,12.625381
335,15.101782
336,15.344834
337,15.139328
338,16.128542
339,14.661522
340,14.861262
341,13.8858795
342,13.912414
343,13.848718
344,14.148401
345,13.700505
346,14.702983
347,15.30918
348,16.473333
349,14.934049
350,14.771295
351,14.269317
352,16.48702
353,15.906097
354,14.986011
355,17.912348
356,19.32884
357,19.960735
358,21.538212
359,19.68688
360,18.8885
361,19.091513
362,16.711674
363,18.188126
364,17.069595
365,15.3471
366,16.342215
367,15.362652
368,16.99282
369,15.689245
370,15.000883
371,16.51987
372,17.087461
373,15.205353
374,15.991617
375,14.900657
376,14.694946
377,14.527298
378,16.719997
379,17.818388
380,20.593664
381,21.988655
382,23.273186
383,22.92154
384,18.768925
385,19.583618
386,19.109934
387,16.311756
388,17.979374
389,19.909616
390,20.214497
391,23.58798
392,20.956774
393,19.742395
394,18.2593
395,17.42904
396,17.939823
397,17.81673
398,17.473103
399,20.00523
400,21.58102
401,18.345922
402,17.728567
403,16.047297
404,16.76623
405,16.438469
406,17.6951
407,16.330187
408,15.68679
409,15.967865
410,15.436863
411,15.900496
412,18.29735
413,17.757668
414,17.459488
415,19.553463
416,20.592659
417,18.578676
418,18.189358
419,20.766575
420,20.839716
421,19.770575
422,19.809063
423,20.950733
424,22.06531
425,23.34382
426,23.28046
427,23.633715
428,23.032368
429,22.418
430,20.28921
431,20.77221
432,20.767841
433,20.639471
434,18.938362
435,20.409773
436,17.595942
437,17.59227
438,16.91257
439,18.439272
440,18.302824
441,17.270319
442,16.339928
443,15.503279
444,17.096977
445,17.592283
446,15.853448
447,15.795577
448,17.253807
449,17.171143
450,19.075602
451,20.374216
452,20.529259
453,20.607502
454,19.938461
455,17.151546
456,17.1619
457,16.900686
458,18.018204
459,16.789722
460,16.177032
461,17.480778
462,15.73162
463,16.60257
464,16.408068
465,16.267372
466,17.373236
467,17.705608
468,16.182037
469,17.108301
470,15.717699
471,14.530202
472,13.963537
473,13.110898
474,12.564202
475,12.924213
476,10.919582
477,12.157562
478,12.158926
479,14.37256
480,15.625649
481,16.848392
482,16.730415
483,18.174643
484,17.734535
485,17.63691
486,17.705465
487,16.562534
488,17.222878
489,18.151342
490,16.87491
491,16.774733
492,16.722237
493,15.257238
494,14.6644
495,13.968247
496,14.495683
497,13.866515
498,14.828865
499,14.6660185
500,14.413847
501,12.855561
502,13.539555
503,12.588574
504,12.25772
505,11.117242
506,13.955661
507,13.110859
508,12.10439
509,11.417868
510,12.774249
511,12.916863
512,11.993713
513,11.805031
514,10.036719
515,8.965957
516,7.624515
517,8.125972
518,7.73043
519,7.0500555
520,6.7876806
521,6.1262293
522,6.3837824
523,5.7629786
524,5.0515523
525,5.257922
526,4.335361
527,3.8176873
528,4.199817
529,4.484902
530,5.2833676
531,4.1737413
532,4.152373
533,4.216175
534,4.8365436
535,4.3511157
536,4.6478205
537,4.781102
538,3.6717021
539,3.7141383
540,3.127206
541,2.7164652
542,3.6494362
543,3.9694674
544,4.330659
545,4.3357
546,4.483982
547,4.6523614
548,4.366213
549,4.253443
550,4.4485626
551,5.491158
552,4.6673064
553,4.4854536
554,4.079055
555,4.4953065
556,4.3615565
557,4.2505717
558,4.1250587
559,4.799634
560,4.9108806
561,5.2787375
562,4.4241076
563,5.204438
564,4.808995
565,4.571092
